goods_id_pure,index,filename,width,height,xmin,ymin,xmax,ymax,goods_id,mid_category,goods_image,sample_path_local,review_path_local,sample_path_drive,review_path_drive
25868,2776,25868_0_gallery_5bc7100bc4ff6_jpg.rf.6447220e74aaea8869a96f0202fe9727.jpg,298,717,0,0,298,717,25868,003002,https://image.msscdn.net/images/goods_img/20121105/25868/25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\sampleImg\20121105_25868_25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\train\25868_0_gallery_5bc7100bc4ff6_jpg.rf.6447220e74aaea8869a96f0202fe9727.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/sampleImg/20121105_25868_25868_3_500.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/train/25868_0_gallery_5bc7100bc4ff6_jpg.rf.6447220e74aaea8869a96f0202fe9727.jpg
25868,1168,25868_0_gallery_5bcc87a2b5ce9_jpg.rf.b6559a4931a74d594c7b2922fbd9f60d.jpg,368,809,0,0,368,809,25868,003002,https://image.msscdn.net/images/goods_img/20121105/25868/25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\sampleImg\20121105_25868_25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\train\25868_0_gallery_5bcc87a2b5ce9_jpg.rf.b6559a4931a74d594c7b2922fbd9f60d.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/sampleImg/20121105_25868_25868_3_500.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/train/25868_0_gallery_5bcc87a2b5ce9_jpg.rf.b6559a4931a74d594c7b2922fbd9f60d.jpg
25868,1281,25868_0_gallery_5e57d8c343ff9_jpg.rf.bc6e3cebcafbba94c0ab48f80e97878d.jpg,133,373,0,0,133,373,25868,003002,https://image.msscdn.net/images/goods_img/20121105/25868/25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\sampleImg\20121105_25868_25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\train\25868_0_gallery_5e57d8c343ff9_jpg.rf.bc6e3cebcafbba94c0ab48f80e97878d.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/sampleImg/20121105_25868_25868_3_500.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/train/25868_0_gallery_5e57d8c343ff9_jpg.rf.bc6e3cebcafbba94c0ab48f80e97878d.jpg
25868,3062,25868_0_gallery_5bff80bbdad6a_jpg.rf.7201fb2982cc061ace0c96183276c4a9.jpg,370,583,0,0,370,583,25868,003002,https://image.msscdn.net/images/goods_img/20121105/25868/25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\sampleImg\20121105_25868_25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\train\25868_0_gallery_5bff80bbdad6a_jpg.rf.7201fb2982cc061ace0c96183276c4a9.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/sampleImg/20121105_25868_25868_3_500.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/train/25868_0_gallery_5bff80bbdad6a_jpg.rf.7201fb2982cc061ace0c96183276c4a9.jpg
25868,1149,25868_0_gallery_5f51a6f94de0f_jpg.rf.b63152a863b6fa97c0f8a0fe3aa892b4.jpg,68,166,0,0,68,166,25868,003002,https://image.msscdn.net/images/goods_img/20121105/25868/25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\sampleImg\20121105_25868_25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\train\25868_0_gallery_5f51a6f94de0f_jpg.rf.b63152a863b6fa97c0f8a0fe3aa892b4.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/sampleImg/20121105_25868_25868_3_500.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/train/25868_0_gallery_5f51a6f94de0f_jpg.rf.b63152a863b6fa97c0f8a0fe3aa892b4.jpg
25868,4002,25868_0_gallery_60dea701a8b24_jpg.rf.de6df4858e9bd6f215cd94ba56daee36.jpg,88,185,0,0,88,185,25868,003002,https://image.msscdn.net/images/goods_img/20121105/25868/25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\sampleImg\20121105_25868_25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\train\25868_0_gallery_60dea701a8b24_jpg.rf.de6df4858e9bd6f215cd94ba56daee36.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/sampleImg/20121105_25868_25868_3_500.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/train/25868_0_gallery_60dea701a8b24_jpg.rf.de6df4858e9bd6f215cd94ba56daee36.jpg
25868,1811,25868_0_gallery_5e533ae5969d6_jpg.rf.f63b13c06f139352d8c063225a361a37.jpg,64,149,0,0,64,149,25868,003002,https://image.msscdn.net/images/goods_img/20121105/25868/25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\sampleImg\20121105_25868_25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\train\25868_0_gallery_5e533ae5969d6_jpg.rf.f63b13c06f139352d8c063225a361a37.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/sampleImg/20121105_25868_25868_3_500.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/train/25868_0_gallery_5e533ae5969d6_jpg.rf.f63b13c06f139352d8c063225a361a37.jpg
25868,2485,25868_0_gallery_6014f7fb4b5bc_jpg.rf.96a99b98b6b34dccc036da38adfea1df.jpg,322,572,0,0,322,572,25868,003002,https://image.msscdn.net/images/goods_img/20121105/25868/25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\sampleImg\20121105_25868_25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\train\25868_0_gallery_6014f7fb4b5bc_jpg.rf.96a99b98b6b34dccc036da38adfea1df.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/sampleImg/20121105_25868_25868_3_500.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/train/25868_0_gallery_6014f7fb4b5bc_jpg.rf.96a99b98b6b34dccc036da38adfea1df.jpg
25868,2396,25868_0_gallery_5e533ae5969d6_jpg.rf.91eb05e32ba7330cf260b906a72cae8f.jpg,80,149,0,0,80,149,25868,003002,https://image.msscdn.net/images/goods_img/20121105/25868/25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\sampleImg\20121105_25868_25868_3_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\train\25868_0_gallery_5e533ae5969d6_jpg.rf.91eb05e32ba7330cf260b906a72cae8f.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/sampleImg/20121105_25868_25868_3_500.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/train/25868_0_gallery_5e533ae5969d6_jpg.rf.91eb05e32ba7330cf260b906a72cae8f.jpg
70063,742,70063_0_2014101512464700000031043_jpg.rf.a34f57fe056137c49b42c7f7f0d4bc8c.jpg,221,217,0,0,221,217,70063,001005,https://image.msscdn.net/images/goods_img/20140115/70063/70063_10_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\sampleImg\20140115_70063_70063_10_500.jpg,C:\Users\panda\2022 SWA 아카데미\3차 프로젝트\cropped\12sw_project.v4i.tensorflow\train\70063_0_2014101512464700000031043_jpg.rf.a34f57fe056137c49b42c7f7f0d4bc8c.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/sampleImg/20140115_70063_70063_10_500.jpg,/content/drive/Othercomputers/내 노트북/12sw_project.v4i.tensorflow/train/70063_0_2014101512464700000031043_jpg.rf.a34f57fe056137c49b42c7f7f0d4bc8c.jpg
